You entered a buffer length of 20
2.213192,-1.432233, Max:2.249205, Min:-1.760158
2.213192,-1.633103, Max:2.249205, Min:-1.760158
2.207190,-1.445079, Max:2.249205, Min:-1.760158
2.213192,-1.236110, Max:2.249205, Min:-1.760158
2.213192,-1.027294, Max:2.249205, Min:-1.760158
2.213192,-0.818185, Max:2.249205, Min:-1.760158
2.213192,-0.609063, Max:2.249205, Min:-1.760158
2.219194,-0.399639, Max:2.249205, Min:-1.760158
2.201188,-0.199203, Max:2.249205, Min:-1.760158
1.847068,-0.029827, Max:2.249205, Min:-1.760158
1.402917,0.133795, Max:2.249205, Min:-1.760158
1.012784,0.303431, Max:2.249205, Min:-1.760158
0.706680,0.482370, Max:2.249205, Min:-1.760158
0.484605,0.669278, Max:2.249205, Min:-1.760158
0.316548,0.861385, Max:2.249205, Min:-1.760158
0.178501,1.056154, Max:2.249205, Min:-1.760158
0.052458,1.252255, Max:2.249205, Min:-1.760158
-0.067583,1.449324, Max:2.249205, Min:-1.760158
-0.157614,1.648842, Max:2.249205, Min:-1.760158
-0.253646,1.848182, Max:2.249205, Min:-1.760158
-0.361683,2.046313, Max:2.249205, Min:-1.760158
-0.427705,2.183463, Max:2.249205, Min:-1.760158
-0.529740,2.048072, Max:2.249205, Min:-1.760158
-0.565752,1.897254, Max:2.249205, Min:-1.760158
-0.643779,1.741162, Max:2.249205, Min:-1.760158
-0.757818,1.583307, Max:2.249205, Min:-1.760158
-0.871856,1.424463, Max:2.249205, Min:-1.760158
-0.997899,1.266169, Max:2.249205, Min:-1.760158
-1.105936,1.107603, Max:2.249205, Min:-1.760158
-1.237981,0.947223, Max:2.249205, Min:-1.760158
-1.394034,0.783751, Max:2.249205, Min:-1.760158
-1.598103,0.617424, Max:2.249205, Min:-1.760158
-1.712142,0.460857, Max:2.249205, Min:-1.760158
-1.748154,0.311081, Max:2.249205, Min:-1.760158
-1.760158,0.164044, Max:2.249205, Min:-1.760158
-1.760158,0.017745, Max:2.249205, Min:-1.760158
-1.760158,-0.128517, Max:2.249205, Min:-1.760158
-1.760158,-0.274777, Max:2.249205, Min:-1.760158
-1.760158,-0.421037, Max:2.249205, Min:-1.760158
-1.760158,-0.567298, Max:2.249205, Min:-1.760158
